iteration: 77000, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 77500, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 78000, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 78500, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 79000, loss: 0.0015, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 79500, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 80000, loss: 0.0016, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 80500, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 81000, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 81500, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 82000, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 82500, loss: 0.0015, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 83000, loss: 0.0015, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 83500, loss: 0.0015, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 84000, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 84500, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 85000, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 85500, loss: 0.0015, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 86000, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 86500, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 87000, loss: 0.0015, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 87500, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 88000, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 88500, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 89000, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 89500, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 90000, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 90500, loss: 0.0015, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 91000, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 91500, loss: 0.0015, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 92000, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 92500, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 93000, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 93500, loss: 0.0015, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 94000, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 94500, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 95000, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 95500, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 96000, loss: 0.0015, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 96500, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 97000, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 97500, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 98000, loss: 0.0015, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 98500, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 99000, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 99500, loss: 0.0015, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 100000, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 100500, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 101000, loss: 0.0015, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 101500, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 102000, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 102500, loss: 0.0013, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 103000, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 103500, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 104000, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 104500, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 105000, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 105500, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 106000, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 106500, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 107000, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 107500, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 108000, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 108500, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 109000, loss: 0.0013, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 109500, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 110000, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 110500, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 111000, loss: 0.0013, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 111500, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 112000, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 112500, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 113000, loss: 0.0013, scmap loss: 0.0012, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 113500, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 114000, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 114500, loss: 0.0013, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 115000, loss: 0.0014, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 115500, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 116000, loss: 0.0013, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 116500, loss: 0.0013, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
